city,date,year,month,day,day_of_year,tmax,tmin,humidity,precipitation,pressure,wind_speed
Bangalore,2009-01-01,2009,1,1,1,21.9,12.94,73.1,0.0,916.6,10.6
Bangalore,2009-01-02,2009,1,2,2,22.7,12.43,67.2,0.0,912.7,6.2
Bangalore,2009-01-03,2009,1,3,3,18.62,12.47,64.8,0.0,912.9,8.6
Bangalore,2009-01-04,2009,1,4,4,18.03,12.42,72.8,0.0,910.4,10.2
Bangalore,2009-01-05,2009,1,5,5,19.55,13.65,66.8,0.0,911.1,8.0
Bangalore,2009-01-06,2009,1,6,6,21.06,12.58,69.8,0.0,914.5,7.6
Bangalore,2009-01-07,2009,1,7,7,21.66,10.89,63.1,0.0,912.6,10.4
Bangalore,2009-01-08,2009,1,8,8,22.7,12.06,61.8,0.0,910.6,12.1
Bangalore,2009-01-09,2009,1,9,9,21.94,11.19,71.3,17.34,910.8,8.6
Bangalore,2009-01-10,2009,1,10,10,22.38,14.57,74.3,0.0,911.4,8.8
Bangalore,2009-01-11,2009,1,11,11,19.24,14.68,68.7,0.0,910.8,11.6
Bangalore,2009-01-12,2009,1,12,12,23.59,13.31,74.6,0.0,914.9,11.6
Bangalore,2009-01-13,2009,1,13,13,23.84,13.84,86.4,0.0,909.2,10.2
Bangalore,2009-01-14,2009,1,14,14,21.2,13.58,59.6,0.0,910.4,7.0
Bangalore,2009-01-15,2009,1,15,15,20.52,14.39,68.4,0.0,910.7,11.8
Bangalore,2009-01-16,2009,1,16,16,22.25,12.9,72.0,0.0,916.1,10.4
Bangalore,2009-01-17,2009,1,17,17,21.35,14.39,68.1,0.0,910.9,10.6
Bangalore,2009-01-18,2009,1,18,18,22.26,13.63,68.2,0.0,910.8,9.4
Bangalore,2009-01-19,2009,1,19,19,22.61,13.46,70.4,0.0,905.9,10.5
Bangalore,2009-01-20,2009,1,20,20,21.88,11.4,69.2,0.0,912.3,9.1
Bangalore,2009-01-21,2009,1,21,21,21.06,13.76,71.6,0.0,911.2,9.9
Bangalore,2009-01-22,2009,1,22,22,20.36,15.17,73.0,0.0,909.6,12.8
Bangalore,2009-01-23,2009,1,23,23,24.29,15.51,64.8,0.0,912.2,8.0
Bangalore,2009-01-24,2009,1,24,24,21.4,14.01,66.6,0.0,912.0,9.3
Bangalore,2009-01-25,2009,1,25,25,23.29,12.47,71.7,0.0,909.3,8.4
Bangalore,2009-01-26,2009,1,26,26,21.91,14.97,62.9,0.0,916.1,15.1
Bangalore,2009-01-27,2009,1,27,27,21.98,13.8,61.8,0.0,915.6,11.0
Bangalore,2009-01-28,2009,1,28,28,22.98,14.4,70.6,0.0,912.7,11.7
Bangalore,2009-01-29,2009,1,29,29,22.88,12.69,74.1,0.0,916.0,8.1
